设备,CORE胸皮温区间,n,更接近皮温比例,MAE vs 核心温,MAE vs 胸皮温
小米温度,<34,20,0.0,0.27000000000000063,3.4800000000000013
小米温度,34-35,27,0.0,0.24814814814814984,2.3148148148148144
小米温度,35-36,36,0.2222222222222222,0.49444444444444635,1.3166666666666667
小米温度,36-36.5,17,0.8823529411764706,0.8411764705882351,0.31764705882352934
小米温度,>=36.5,7,0.7142857142857143,0.9428571428571421,0.42857142857142755
水银温度计,<34,20,0.0,0.5399999999999995,3.000000000000001
水银温度计,34-35,27,0.0,0.43703703703703717,2.014814814814814
水银温度计,35-36,36,0.08333333333333333,0.5499999999999995,0.9388888888888882
水银温度计,36-36.5,17,0.6470588235294118,0.6352941176470587,0.45294117647058796
水银温度计,>=36.5,7,0.8571428571428571,0.5999999999999994,0.25714285714285673
